Segment,Scores,Activity,Actionable Tip
About To Sleep,213,"Below average recency, frequency and monetary values. Will lose them if not reactivated.","Share valuable resources, recommend popular products / renewals at discount, reconnect with them."
About To Sleep,221,"Below average recency, frequency and monetary values. Will lose them if not reactivated.","Share valuable resources, recommend popular products / renewals at discount, reconnect with them."
About To Sleep,231,"Below average recency, frequency and monetary values. Will lose them if not reactivated.","Share valuable resources, recommend popular products / renewals at discount, reconnect with them."
About To Sleep,241,"Below average recency, frequency and monetary values. Will lose them if not reactivated.","Share valuable resources, recommend popular products / renewals at discount, reconnect with them."
About To Sleep,251,"Below average recency, frequency and monetary values. Will lose them if not reactivated.","Share valuable resources, recommend popular products / renewals at discount, reconnect with them."
About To Sleep,312,"Below average recency, frequency and monetary values. Will lose them if not reactivated.","Share valuable resources, recommend popular products / renewals at discount, reconnect with them."
About To Sleep,321,"Below average recency, frequency and monetary values. Will lose them if not reactivated.","Share valuable resources, recommend popular products / renewals at discount, reconnect with them."
About To Sleep,331,"Below average recency, frequency and monetary values. Will lose them if not reactivated.","Share valuable resources, recommend popular products / renewals at discount, reconnect with them."
At Risk,124,Spent big money and purchased often. But long time ago. Need to bring them back!,"Send personalized emails to reconnect, offer renewals, provide helpful resources."
At Risk,125,Spent big money and purchased often. But long time ago. Need to bring them back!,"Send personalized emails to reconnect, offer renewals, provide helpful resources."
At Risk,133,Spent big money and purchased often. But long time ago. Need to bring them back!,"Send personalized emails to reconnect, offer renewals, provide helpful resources."
At Risk,134,Spent big money and purchased often. But long time ago. Need to bring them back!,"Send personalized emails to reconnect, offer renewals, provide helpful resources."
At Risk,135,Spent big money and purchased often. But long time ago. Need to bring them back!,"Send personalized emails to reconnect, offer renewals, provide helpful resources."
At Risk,142,Spent big money and purchased often. But long time ago. Need to bring them back!,"Send personalized emails to reconnect, offer renewals, provide helpful resources."
At Risk,143,Spent big money and purchased often. But long time ago. Need to bring them back!,"Send personalized emails to reconnect, offer renewals, provide helpful resources."
At Risk,145,Spent big money and purchased often. But long time ago. Need to bring them back!,"Send personalized emails to reconnect, offer renewals, provide helpful resources."
At Risk,152,Spent big money and purchased often. But long time ago. Need to bring them back!,"Send personalized emails to reconnect, offer renewals, provide helpful resources."
At Risk,153,Spent big money and purchased often. But long time ago. Need to bring them back!,"Send personalized emails to reconnect, offer renewals, provide helpful resources."
At Risk,224,Spent big money and purchased often. But long time ago. Need to bring them back!,"Send personalized emails to reconnect, offer renewals, provide helpful resources."
At Risk,225,Spent big money and purchased often. But long time ago. Need to bring them back!,"Send personalized emails to reconnect, offer renewals, provide helpful resources."
At Risk,234,Spent big money and purchased often. But long time ago. Need to bring them back!,"Send personalized emails to reconnect, offer renewals, provide helpful resources."
At Risk,235,Spent big money and purchased often. But long time ago. Need to bring them back!,"Send personalized emails to reconnect, offer renewals, provide helpful resources."
At Risk,242,Spent big money and purchased often. But long time ago. Need to bring them back!,"Send personalized emails to reconnect, offer renewals, provide helpful resources."
At Risk,243,Spent big money and purchased often. But long time ago. Need to bring them back!,"Send personalized emails to reconnect, offer renewals, provide helpful resources."
At Risk,244,Spent big money and purchased often. But long time ago. Need to bring them back!,"Send personalized emails to reconnect, offer renewals, provide helpful resources."
At Risk,245,Spent big money and purchased often. But long time ago. Need to bring them back!,"Send personalized emails to reconnect, offer renewals, provide helpful resources."
At Risk,252,Spent big money and purchased often. But long time ago. Need to bring them back!,"Send personalized emails to reconnect, offer renewals, provide helpful resources."
At Risk,253,Spent big money and purchased often. But long time ago. Need to bring them back!,"Send personalized emails to reconnect, offer renewals, provide helpful resources."
At Risk,254,Spent big money and purchased often. But long time ago. Need to bring them back!,"Send personalized emails to reconnect, offer renewals, provide helpful resources."
At Risk,255,Spent big money and purchased often. But long time ago. Need to bring them back!,"Send personalized emails to reconnect, offer renewals, provide helpful resources."
Cannot Lose Them,113,"Made biggest purchases, and often. But haven’t returned for a long time.","Win them back via renewals or newer products, don’t lose them to competition, talk to them."
Cannot Lose Them,114,"Made biggest purchases, and often. But haven’t returned for a long time.","Win them back via renewals or newer products, don’t lose them to competition, talk to them."
Cannot Lose Them,115,"Made biggest purchases, and often. But haven’t returned for a long time.","Win them back via renewals or newer products, don’t lose them to competition, talk to them."
Cannot Lose Them,144,"Made biggest purchases, and often. But haven’t returned for a long time.","Win them back via renewals or newer products, don’t lose them to competition, talk to them."
Cannot Lose Them,154,"Made biggest purchases, and often. But haven’t returned for a long time.","Win them back via renewals or newer products, don’t lose them to competition, talk to them."
Cannot Lose Them,155,"Made biggest purchases, and often. But haven’t returned for a long time.","Win them back via renewals or newer products, don’t lose them to competition, talk to them."
Cannot Lose Them,214,"Made biggest purchases, and often. But haven’t returned for a long time.","Win them back via renewals or newer products, don’t lose them to competition, talk to them."
Cannot Lose Them,215,"Made biggest purchases, and often. But haven’t returned for a long time.","Win them back via renewals or newer products, don’t lose them to competition, talk to them."
Champions,445,"Bought recently, buy often and spend the most!",Reward them. Can be early adopters for new products. Will promote your brand.
Champions,454,"Bought recently, buy often and spend the most!",Reward them. Can be early adopters for new products. Will promote your brand.
Champions,455,"Bought recently, buy often and spend the most!",Reward them. Can be early adopters for new products. Will promote your brand.
Champions,544,"Bought recently, buy often and spend the most!",Reward them. Can be early adopters for new products. Will promote your brand.
Champions,545,"Bought recently, buy often and spend the most!",Reward them. Can be early adopters for new products. Will promote your brand.
Champions,554,"Bought recently, buy often and spend the most!",Reward them. Can be early adopters for new products. Will promote your brand.
Champions,555,"Bought recently, buy often and spend the most!",Reward them. Can be early adopters for new products. Will promote your brand.
Hibernating customers,122,"Last purchase was long back, low spenders and low number of orders.",Offer other relevant products and special discounts. Recreate brand value.
Hibernating customers,123,"Last purchase was long back, low spenders and low number of orders.",Offer other relevant products and special discounts. Recreate brand value.
Hibernating customers,132,"Last purchase was long back, low spenders and low number of orders.",Offer other relevant products and special discounts. Recreate brand value.
Hibernating customers,211,"Last purchase was long back, low spenders and low number of orders.",Offer other relevant products and special discounts. Recreate brand value.
Hibernating customers,212,"Last purchase was long back, low spenders and low number of orders.",Offer other relevant products and special discounts. Recreate brand value.
Hibernating customers,222,"Last purchase was long back, low spenders and low number of orders.",Offer other relevant products and special discounts. Recreate brand value.
Hibernating customers,223,"Last purchase was long back, low spenders and low number of orders.",Offer other relevant products and special discounts. Recreate brand value.
Hibernating customers,231,"Last purchase was long back, low spenders and low number of orders.",Offer other relevant products and special discounts. Recreate brand value.
Hibernating customers,232,"Last purchase was long back, low spenders and low number of orders.",Offer other relevant products and special discounts. Recreate brand value.
Hibernating customers,233,"Last purchase was long back, low spenders and low number of orders.",Offer other relevant products and special discounts. Recreate brand value.
Hibernating customers,241,"Last purchase was long back, low spenders and low number of orders.",Offer other relevant products and special discounts. Recreate brand value.
Hibernating customers,251,"Last purchase was long back, low spenders and low number of orders.",Offer other relevant products and special discounts. Recreate brand value.
Hibernating customers,322,"Last purchase was long back, low spenders and low number of orders.",Offer other relevant products and special discounts. Recreate brand value.
Hibernating customers,332,"Last purchase was long back, low spenders and low number of orders.",Offer other relevant products and special discounts. Recreate brand value.
Lost customers,111,"Lowest recency, frequency and monetary scores.","Revive interest with reach out campaign, ignore otherwise."
Lost customers,112,"Lowest recency, frequency and monetary scores.","Revive interest with reach out campaign, ignore otherwise."
Lost customers,121,"Lowest recency, frequency and monetary scores.","Revive interest with reach out campaign, ignore otherwise."
Lost customers,131,"Lowest recency, frequency and monetary scores.","Revive interest with reach out campaign, ignore otherwise."
Lost customers,141,"Lowest recency, frequency and monetary scores.","Revive interest with reach out campaign, ignore otherwise."
Lost customers,151,"Lowest recency, frequency and monetary scores.","Revive interest with reach out campaign, ignore otherwise."
Loyal,335,Spend good money with us often. Responsive to promotions.,Upsell higher value products. Ask for reviews. Engage them.
Loyal,344,Spend good money with us often. Responsive to promotions.,Upsell higher value products. Ask for reviews. Engage them.
Loyal,345,Spend good money with us often. Responsive to promotions.,Upsell higher value products. Ask for reviews. Engage them.
Loyal,354,Spend good money with us often. Responsive to promotions.,Upsell higher value products. Ask for reviews. Engage them.
Loyal,355,Spend good money with us often. Responsive to promotions.,Upsell higher value products. Ask for reviews. Engage them.
Loyal,435,Spend good money with us often. Responsive to promotions.,Upsell higher value products. Ask for reviews. Engage them.
Loyal,444,Spend good money with us often. Responsive to promotions.,Upsell higher value products. Ask for reviews. Engage them.
Loyal,543,Spend good money with us often. Responsive to promotions.,Upsell higher value products. Ask for reviews. Engage them.
Need Attention,324,"Above average recency, frequency and monetary values. May not have bought very recently though.","Make limited time offers, Recommend based on past purchases. Reactivate them."
Need Attention,325,"Above average recency, frequency and monetary values. May not have bought very recently though.","Make limited time offers, Recommend based on past purchases. Reactivate them."
Need Attention,334,"Above average recency, frequency and monetary values. May not have bought very recently though.","Make limited time offers, Recommend based on past purchases. Reactivate them."
Need Attention,343,"Above average recency, frequency and monetary values. May not have bought very recently though.","Make limited time offers, Recommend based on past purchases. Reactivate them."
Need Attention,434,"Above average recency, frequency and monetary values. May not have bought very recently though.","Make limited time offers, Recommend based on past purchases. Reactivate them."
Need Attention,443,"Above average recency, frequency and monetary values. May not have bought very recently though.","Make limited time offers, Recommend based on past purchases. Reactivate them."
Need Attention,534,"Above average recency, frequency and monetary values. May not have bought very recently though.","Make limited time offers, Recommend based on past purchases. Reactivate them."
Need Attention,535,"Above average recency, frequency and monetary values. May not have bought very recently though.","Make limited time offers, Recommend based on past purchases. Reactivate them."
New Customers,311,"Bought most recently, but not often.","Provide on-boarding support, give them early success, start building relationship."
New Customers,411,"Bought most recently, but not often.","Provide on-boarding support, give them early success, start building relationship."
New Customers,412,"Bought most recently, but not often.","Provide on-boarding support, give them early success, start building relationship."
New Customers,421,"Bought most recently, but not often.","Provide on-boarding support, give them early success, start building relationship."
New Customers,422,"Bought most recently, but not often.","Provide on-boarding support, give them early success, start building relationship."
New Customers,511,"Bought most recently, but not often.","Provide on-boarding support, give them early success, start building relationship."
New Customers,512,"Bought most recently, but not often.","Provide on-boarding support, give them early success, start building relationship."
Potential Loyalist,323,"Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
Potential Loyalist,333,"Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
Potential Loyalist,341,"Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
Potential Loyalist,342,"Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
Potential Loyalist,351,"Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
Potential Loyalist,352,"Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
Potential Loyalist,353,"Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
Potential Loyalist,423,"Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
Potential Loyalist,431,"Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
Potential Loyalist,432,"Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
Potential Loyalist,433,"Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
Potential Loyalist,441,"Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
Potential Loyalist,442,"Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
Potential Loyalist,451,"Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
Potential Loyalist,452,"Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
Potential Loyalist,453,"Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
Potential Loyalist,531,"Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
Potential Loyalist,532,"Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
Potential Loyalist,533,"Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
Potential Loyalist,541,"Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
Potential Loyalist,542,"Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
Potential Loyalist,551,"Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
Potential Loyalist,552,"Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
Potential Loyalist,553,"Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
Promising,313,"Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
Promising,314,"Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
Promising,315,"Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
Promising,413,"Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
Promising,414,"Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
Promising,415,"Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
Promising,424,"Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
Promising,425,"Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
Promising,513,"Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
Promising,514,"Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
Promising,515,"Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
Promising,521,"Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
Promising,522,"Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
Promising,523,"Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
Promising,524,"Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
Promising,525,"Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
